Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,timeofday,day_name,month_name,city
118-62-1812,C,Member,Female,Home and lifestyle,78.38,4,15.67599964,329.196,00:00.0,56:00.0,Cash,313.52,4.761904716,15.676,7.900000095,Afternoon,Sunday,March,Naypyitaw
120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,9.182999611,192.843,00:00.0,36:00.0,Cash,183.66,4.761904716,9.183,9.300000191,Evening,Tuesday,March,Naypyitaw
120-54-2248,B,Normal,Female,Food and beverages,28.86,5,7.215000153,151.515,00:00.0,08:00.0,Credit card,144.3,4.761904716,7.215,8,Evening,Tuesday,January,Mandalay
122-61-9553,C,Normal,Female,Electronic accessories,51.32,9,23.09399986,484.974,00:00.0,33:00.0,Cash,461.88,4.761904716,23.094,5.599999905,Evening,Thursday,March,Naypyitaw
123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.28800011,489.048,00:00.0,33:00.0,Ewallet,465.76,4.761904716,23.288,8.399999619,Evening,Sunday,January,Yangon
123-35-4896,C,Normal,Female,Sports and travel,46.66,9,20.99699974,440.937,00:00.0,11:00.0,Ewallet,419.94,4.761904716,20.997,5.300000191,Evening,Sunday,February,Naypyitaw
124-31-1458,A,Member,Female,Electronic accessories,79.59,3,11.9385004,250.7085,00:00.0,30:00.0,Cash,238.77,4.761904716,11.9385,6.599999905,Afternoon,Tuesday,January,Yangon
125-45-2293,A,Normal,Female,Fashion accessories,99.1,6,29.72999954,624.33,00:00.0,11:00.0,Cash,594.6,4.761904716,29.73,4.199999809,Afternoon,Saturday,January,Yangon
126-54-1082,A,Member,Female,Home and lifestyle,21.54,9,9.69299984,203.553,00:00.0,44:00.0,Credit card,193.86,4.761904716,9.693,8.800000191,Morning,Monday,January,Yangon
127-47-6963,A,Normal,Male,Health and beauty,51.71,4,10.34200001,217.182,00:00.0,53:00.0,Credit card,206.84,4.761904716,10.342,9.800000191,Afternoon,Saturday,March,Yangon
129-29-8530,A,Member,Male,Sports and travel,62.62,5,15.65499973,328.755,00:00.0,15:00.0,Ewallet,313.1,4.761904716,15.655,7,Evening,Sunday,March,Yangon
130-67-4723,A,Member,Male,Food and beverages,48.5,6,14.55000019,305.55,00:00.0,57:00.0,Ewallet,291,4.761904716,14.55,9.399999619,Afternoon,Friday,January,Yangon
130-98-8941,C,Normal,Male,Fashion accessories,64.26,7,22.49099922,472.311,00:00.0,00:00.0,Cash,449.82,4.761904716,22.491,5.699999809,Morning,Saturday,February,Naypyitaw
131-15-8856,C,Member,Female,Food and beverages,72.52,8,29.00799942,609.168,00:00.0,26:00.0,Credit card,580.16,4.761904716,29.008,4,Evening,Saturday,March,Naypyitaw
131-70-8179,A,Member,Female,Health and beauty,92.09,3,13.8135004,290.0835,00:00.0,27:00.0,Cash,276.27,4.761904716,13.8135,4.199999809,Afternoon,Sunday,February,Yangon
132-23-6451,A,Member,Male,Health and beauty,20.97,5,5.242499828,110.0925,00:00.0,21:00.0,Cash,104.85,4.761904716,5.2425,7.800000191,Afternoon,Friday,January,Yangon
132-32-9879,B,Member,Female,Electronic accessories,93.96,4,18.79199982,394.632,00:00.0,00:00.0,Cash,375.84,4.761904716,18.792,9.5,Evening,Saturday,March,Mandalay
133-14-7229,C,Normal,Male,Health and beauty,62.87,2,6.287000179,132.027,00:00.0,43:00.0,Cash,125.74,4.761904716,6.287,5,Morning,Tuesday,January,Naypyitaw
133-77-3154,B,Member,Male,Fashion accessories,60.18,4,12.03600025,252.756,00:00.0,04:00.0,Credit card,240.72,4.761904716,12.036,9.399999619,Evening,Saturday,February,Mandalay
134-54-4720,B,Normal,Female,Electronic accessories,42.42,8,16.96800041,356.328,00:00.0,58:00.0,Ewallet,339.36,4.761904716,16.968,5.699999809,Afternoon,Wednesday,January,Mandalay
134-75-2619,A,Member,Male,Electronic accessories,19.32,7,6.762000084,142.002,00:00.0,51:00.0,Cash,135.24,4.761904716,6.762,6.900000095,Evening,Monday,March,Yangon
135-13-8269,B,Member,Female,Food and beverages,78.88,2,7.888000011,165.648,00:00.0,04:00.0,Cash,157.76,4.761904716,7.888,9.100000381,Afternoon,Saturday,January,Mandalay
135-84-8019,A,Normal,Female,Fashion accessories,77.93,9,35.06850052,736.4385,00:00.0,10:00.0,Ewallet,701.37,4.761904716,35.0685,7.599999905,Afternoon,Wednesday,February,Yangon
136-08-6195,A,Normal,Female,Home and lifestyle,69.96,8,27.98399925,587.664,00:00.0,01:00.0,Credit card,559.68,4.761904716,27.984,6.400000095,Afternoon,Friday,February,Yangon
137-63-5492,C,Normal,Male,Electronic accessories,58.76,10,29.37999916,616.98,00:00.0,26:00.0,Ewallet,587.6,4.761904716,29.38,9,Afternoon,Tuesday,January,Naypyitaw
137-74-8729,C,Normal,Female,Fashion accessories,12.19,8,4.875999928,102.396,00:00.0,47:00.0,Ewallet,97.52,4.761904716,4.876,6.800000191,Afternoon,Wednesday,March,Naypyitaw
138-17-5109,A,Member,Female,Home and lifestyle,89.21,9,40.14450073,843.0345,00:00.0,42:00.0,Credit card,802.89,4.761904716,40.1445,6.5,Afternoon,Tuesday,January,Yangon
139-20-0155,B,Member,Male,Electronic accessories,40.3,10,20.14999962,423.15,00:00.0,37:00.0,Credit card,403,4.761904716,20.15,7,Afternoon,Thursday,January,Mandalay
139-32-4183,A,Member,Female,Sports and travel,97.48,9,43.86600113,921.186,00:00.0,19:00.0,Ewallet,877.32,4.761904716,43.866,7.400000095,Afternoon,Thursday,March,Yangon
139-52-2867,C,Normal,Female,Fashion accessories,22.51,7,7.878499985,165.4485,00:00.0,50:00.0,Credit card,157.57,4.761904716,7.8785,4.800000191,Morning,Wednesday,February,Naypyitaw
142-63-6033,B,Normal,Male,Home and lifestyle,92.36,5,23.09000015,484.89,00:00.0,17:00.0,Ewallet,461.8,4.761904716,23.09,4.900000095,Evening,Wednesday,March,Mandalay
142-72-4741,C,Member,Male,Fashion accessories,93.2,2,9.319999695,195.72,00:00.0,37:00.0,Credit card,186.4,4.761904716,9.32,6,Evening,Thursday,February,Naypyitaw
144-51-6085,A,Member,Male,Home and lifestyle,70.74,4,14.14799976,297.108,00:00.0,05:00.0,Credit card,282.96,4.761904716,14.148,4.400000095,Afternoon,Saturday,January,Yangon
145-94-9061,B,Normal,Female,Food and beverages,88.36,5,22.09000015,463.89,00:00.0,48:00.0,Cash,441.8,4.761904716,22.09,9.600000381,Evening,Friday,January,Mandalay
146-09-5432,A,Member,Male,Food and beverages,35.04,9,15.76799965,331.128,00:00.0,17:00.0,Ewallet,315.36,4.761904716,15.768,4.599999905,Evening,Saturday,February,Yangon
148-41-7930,C,Normal,Male,Health and beauty,99.96,7,34.98600006,734.706,00:00.0,33:00.0,Cash,699.72,4.761904716,34.986,6.099999905,Morning,Wednesday,January,Naypyitaw
148-82-2527,C,Member,Female,Home and lifestyle,12.12,10,6.059999943,127.26,00:00.0,44:00.0,Credit card,121.2,4.761904716,6.06,8.399999619,Afternoon,Tuesday,March,Naypyitaw
149-14-0304,C,Member,Female,Health and beauty,28.5,8,11.39999962,239.4,00:00.0,24:00.0,Cash,228,4.761904716,11.4,6.599999905,Afternoon,Wednesday,February,Naypyitaw
149-15-7606,B,Member,Male,Sports and travel,37.32,9,16.79400063,352.674,00:00.0,31:00.0,Ewallet,335.88,4.761904716,16.794,5.099999905,Afternoon,Wednesday,March,Mandalay
149-61-1929,A,Normal,Male,Sports and travel,64.19,10,32.09500122,673.995,00:00.0,08:00.0,Credit card,641.9,4.761904716,32.095,6.699999809,Afternoon,Saturday,January,Yangon
149-71-6266,B,Member,Male,Sports and travel,78.07,9,35.13150024,737.7615,00:00.0,43:00.0,Cash,702.63,4.761904716,35.1315,4.5,Afternoon,Monday,January,Mandalay
150-89-8043,A,Normal,Male,Sports and travel,44.65,3,6.697500229,140.6475,00:00.0,04:00.0,Cash,133.95,4.761904716,6.6975,6.199999809,Afternoon,Thursday,February,Yangon
151-16-1484,A,Member,Male,Electronic accessories,32.25,4,6.449999809,135.45,00:00.0,38:00.0,Ewallet,129,4.761904716,6.45,6.5,Afternoon,Wednesday,February,Yangon
151-27-8496,C,Normal,Female,Electronic accessories,56.13,4,11.22599983,235.746,00:00.0,43:00.0,Ewallet,224.52,4.761904716,11.226,8.600000381,Morning,Saturday,January,Naypyitaw
151-33-7434,B,Normal,Female,Food and beverages,67.77,1,3.388499975,71.1585,00:00.0,43:00.0,Credit card,67.77,4.761904716,3.3885,6.5,Evening,Monday,February,Mandalay
152-03-4217,B,Normal,Female,Home and lifestyle,11.28,9,5.076000214,106.596,00:00.0,55:00.0,Credit card,101.52,4.761904716,5.076,4.300000191,Morning,Sunday,March,Mandalay
152-08-9985,B,Member,Male,Health and beauty,64.36,9,28.96199989,608.202,00:00.0,09:00.0,Credit card,579.24,4.761904716,28.962,8.600000381,Afternoon,Tuesday,March,Mandalay
152-68-2907,A,Normal,Male,Food and beverages,52.2,3,7.829999924,164.43,00:00.0,30:00.0,Credit card,156.6,4.761904716,7.83,9.5,Afternoon,Friday,February,Yangon
153-58-4872,C,Member,Female,Food and beverages,74.89,4,14.97799969,314.538,00:00.0,32:00.0,Ewallet,299.56,4.761904716,14.978,4.199999809,Afternoon,Friday,March,Naypyitaw
154-74-7179,B,Normal,Male,Sports and travel,54.45,1,2.722500086,57.1725,00:00.0,24:00.0,Ewallet,54.45,4.761904716,2.7225,7.900000095,Evening,Tuesday,February,Mandalay
154-87-7367,C,Normal,Male,Home and lifestyle,65.26,8,26.10400009,548.184,00:00.0,04:00.0,Ewallet,522.08,4.761904716,26.104,6.300000191,Afternoon,Friday,March,Naypyitaw
155-45-3814,C,Member,Female,Electronic accessories,88.55,8,35.41999817,743.82,00:00.0,29:00.0,Ewallet,708.4,4.761904716,35.42,4.699999809,Afternoon,Tuesday,March,Naypyitaw
156-20-0370,B,Normal,Female,Electronic accessories,25.45,1,1.272500038,26.7225,00:00.0,10:00.0,Credit card,25.45,4.761904716,1.2725,5.099999905,Evening,Sunday,March,Mandalay
156-95-3964,A,Normal,Female,Food and beverages,55.39,4,11.07800007,232.638,00:00.0,19:00.0,Ewallet,221.56,4.761904716,11.078,8,Afternoon,Monday,March,Yangon
157-13-5295,A,Member,Male,Health and beauty,51.94,10,25.96999931,545.37,00:00.0,24:00.0,Ewallet,519.4,4.761904716,25.97,6.5,Evening,Saturday,March,Yangon
160-22-2687,A,Member,Female,Health and beauty,95.95,5,23.98749924,503.7375,00:00.0,21:00.0,Ewallet,479.75,4.761904716,23.9875,8.800000191,Afternoon,Wednesday,January,Yangon
162-48-8011,A,Member,Female,Food and beverages,44.59,5,11.14750004,234.0975,00:00.0,10:00.0,Cash,222.95,4.761904716,11.1475,8.5,Afternoon,Sunday,February,Yangon
162-65-8559,C,Member,Male,Food and beverages,68.98,1,3.448999882,72.429,00:00.0,13:00.0,Cash,68.98,4.761904716,3.449,4.800000191,Evening,Monday,January,Naypyitaw
163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2.435499907,51.1455,00:00.0,20:00.0,Cash,48.71,4.761904716,2.4355,4.099999905,Evening,Tuesday,March,Naypyitaw
166-19-2553,A,Member,Male,Sports and travel,89.06,6,26.71800041,561.078,00:00.0,26:00.0,Cash,534.36,4.761904716,26.718,9.899999619,Afternoon,Friday,January,Yangon
169-52-4504,A,Normal,Female,Electronic accessories,15.69,3,2.353499889,49.4235,00:00.0,13:00.0,Credit card,47.07,4.761904716,2.3535,5.800000191,Afternoon,Thursday,March,Yangon
172-42-8274,B,Normal,Female,Electronic accessories,38.27,2,3.826999903,80.367,00:00.0,18:00.0,Credit card,76.54,4.761904716,3.827,5.800000191,Evening,Saturday,March,Mandalay
173-50-1108,B,Member,Female,Sports and travel,20.18,4,4.035999775,84.756,00:00.0,14:00.0,Credit card,80.72,4.761904716,4.036,5,Afternoon,Wednesday,February,Mandalay
173-57-2300,C,Member,Male,Sports and travel,72.88,2,7.288000107,153.048,00:00.0,51:00.0,Cash,145.76,4.761904716,7.288,6.099999905,Afternoon,Wednesday,March,Naypyitaw
173-82-9529,B,Normal,Female,Fashion accessories,37.95,10,18.97500038,398.475,00:00.0,51:00.0,Cash,379.5,4.761904716,18.975,9.699999809,Afternoon,Saturday,January,Mandalay
174-36-3675,C,Member,Male,Food and beverages,99.37,2,9.937000275,208.677,00:00.0,29:00.0,Cash,198.74,4.761904716,9.937,5.199999809,Afternoon,Thursday,February,Naypyitaw
174-64-0215,B,Normal,Male,Sports and travel,69.74,10,34.86999893,732.27,00:00.0,49:00.0,Credit card,697.4,4.761904716,34.87,8.899999619,Afternoon,Tuesday,March,Mandalay
174-75-0888,B,Normal,Male,Electronic accessories,21.58,9,9.711000443,203.931,00:00.0,32:00.0,Cash,194.22,4.761904716,9.711,7.300000191,Afternoon,Thursday,March,Mandalay
175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868000031,186.228,00:00.0,01:00.0,Credit card,177.36,4.761904716,8.868,9.600000381,Afternoon,Sunday,March,Yangon
176-64-7711,B,Normal,Male,Food and beverages,32.32,3,4.84800005,101.808,00:00.0,11:00.0,Credit card,96.96,4.761904716,4.848,4.300000191,Evening,Wednesday,March,Mandalay
176-78-1170,C,Member,Male,Health and beauty,33.81,3,5.071499825,106.5015,00:00.0,11:00.0,Ewallet,101.43,4.761904716,5.0715,7.300000191,Afternoon,Saturday,January,Naypyitaw
181-82-6255,B,Normal,Female,Home and lifestyle,16.37,6,4.910999775,103.131,00:00.0,58:00.0,Cash,98.22,4.761904716,4.911,7,Morning,Friday,February,Mandalay
181-94-6432,C,Member,Male,Fashion accessories,69.33,2,6.933000088,145.593,00:00.0,05:00.0,Ewallet,138.66,4.761904716,6.933,9.699999809,Evening,Tuesday,February,Naypyitaw
182-52-7000,A,Member,Female,Sports and travel,27.04,4,5.407999992,113.568,00:00.0,26:00.0,Ewallet,108.16,4.761904716,5.408,6.900000095,Evening,Tuesday,January,Yangon
182-69-8360,B,Normal,Female,Electronic accessories,23.65,4,4.730000019,99.33,00:00.0,32:00.0,Credit card,94.6,4.761904716,4.73,4,Afternoon,Wednesday,January,Mandalay
182-88-2763,B,Member,Male,Food and beverages,79.91,3,11.98649979,251.7165,00:00.0,28:00.0,Credit card,239.73,4.761904716,11.9865,5,Evening,Wednesday,March,Mandalay
183-21-3799,C,Normal,Female,Electronic accessories,77.63,9,34.93349838,733.6035,00:00.0,14:00.0,Ewallet,698.67,4.761904716,34.9335,7.199999809,Afternoon,Tuesday,February,Naypyitaw
183-56-6882,C,Member,Female,Food and beverages,99.42,4,19.88400078,417.564,00:00.0,42:00.0,Ewallet,397.68,4.761904716,19.884,7.5,Morning,Wednesday,February,Naypyitaw
186-09-3669,C,Member,Female,Health and beauty,81.51,1,4.075500011,85.5855,00:00.0,57:00.0,Ewallet,81.51,4.761904716,4.0755,9.199999809,Morning,Tuesday,January,Naypyitaw
186-43-8965,A,Member,Female,Home and lifestyle,47.68,2,4.768000126,100.128,00:00.0,10:00.0,Credit card,95.36,4.761904716,4.768,4.099999905,Morning,Sunday,February,Yangon
186-71-5196,A,Member,Female,Food and beverages,79.54,2,7.953999996,167.034,00:00.0,30:00.0,Ewallet,159.08,4.761904716,7.954,6.199999809,Afternoon,Wednesday,March,Yangon
186-79-9562,B,Normal,Male,Health and beauty,71.77,7,25.11949921,527.5095,00:00.0,06:00.0,Cash,502.39,4.761904716,25.1195,8.899999619,Afternoon,Friday,March,Mandalay
187-83-5490,A,Member,Male,Electronic accessories,20.77,4,4.153999805,87.234,00:00.0,47:00.0,Cash,83.08,4.761904716,4.154,4.699999809,Afternoon,Thursday,January,Yangon
188-55-0967,B,Member,Male,Health and beauty,66.47,10,33.23500061,697.935,00:00.0,01:00.0,Credit card,664.7,4.761904716,33.235,5,Afternoon,Tuesday,January,Mandalay
189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,14.2784996,299.8485,00:00.0,17:00.0,Credit card,285.57,4.761904716,14.2785,5.900000095,Afternoon,Tuesday,January,Naypyitaw
189-17-4241,A,Normal,Female,Fashion accessories,87.67,2,8.767000198,184.107,00:00.0,17:00.0,Credit card,175.34,4.761904716,8.767,7.699999809,Afternoon,Sunday,March,Yangon
189-40-5216,C,Normal,Male,Electronic accessories,96.37,7,33.72949982,708.3195,00:00.0,40:00.0,Cash,674.59,4.761904716,33.7295,6,Morning,Wednesday,January,Naypyitaw
189-52-0236,A,Normal,Male,Electronic accessories,99.55,7,34.84249878,731.6925,00:00.0,07:00.0,Cash,696.85,4.761904716,34.8425,7.599999905,Afternoon,Thursday,March,Yangon
189-55-2313,C,Normal,Female,Fashion accessories,62.18,10,31.09000015,652.89,00:00.0,33:00.0,Ewallet,621.8,4.761904716,31.09,6,Morning,Thursday,January,Naypyitaw
189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,35.34749985,742.2975,00:00.0,22:00.0,Cash,706.95,4.761904716,35.3475,7.199999809,Afternoon,Friday,March,Naypyitaw
190-14-3147,B,Normal,Female,Health and beauty,17.97,4,3.594000101,75.474,00:00.0,43:00.0,Ewallet,71.88,4.761904716,3.594,6.400000095,Evening,Saturday,February,Mandalay
190-59-3964,B,Member,Male,Food and beverages,47.16,5,11.78999996,247.59,00:00.0,35:00.0,Credit card,235.8,4.761904716,11.79,6,Afternoon,Sunday,February,Mandalay
191-10-6171,B,Normal,Female,Fashion accessories,39.62,7,13.86699963,291.207,00:00.0,18:00.0,Cash,277.34,4.761904716,13.867,7.5,Afternoon,Friday,January,Mandalay
191-29-0321,B,Member,Female,Fashion accessories,19.77,10,9.885000229,207.585,00:00.0,57:00.0,Credit card,197.7,4.761904716,9.885,5,Evening,Wednesday,February,Mandalay
192-98-7397,C,Normal,Male,Fashion accessories,12.78,1,0.638999999,13.419,00:00.0,11:00.0,Ewallet,12.78,4.761904716,0.639,9.5,Afternoon,Tuesday,January,Naypyitaw
195-06-0432,A,Member,Male,Home and lifestyle,81.01,3,12.15149975,255.1815,00:00.0,55:00.0,Credit card,243.03,4.761904716,12.1515,9.300000191,Afternoon,Sunday,January,Yangon
196-01-2849,C,Member,Female,Fashion accessories,73.38,7,25.68300056,539.343,00:00.0,56:00.0,Cash,513.66,4.761904716,25.683,9.5,Afternoon,Sunday,February,Naypyitaw
197-77-7132,B,Member,Male,Electronic accessories,91.56,8,36.62400055,769.104,00:00.0,22:00.0,Ewallet,732.48,4.761904716,36.624,6,Evening,Saturday,January,Mandalay
198-66-9832,B,Member,Female,Fashion accessories,72.04,2,7.203999996,151.284,00:00.0,38:00.0,Cash,144.08,4.761904716,7.204,9.5,Evening,Monday,February,Mandalay
198-84-7132,B,Member,Male,Fashion accessories,40.61,9,18.27449989,383.7645,00:00.0,40:00.0,Cash,365.49,4.761904716,18.2745,7,Afternoon,Wednesday,January,Mandalay
199-75-8169,A,Member,Male,Sports and travel,15.81,10,7.90500021,166.005,00:00.0,27:00.0,Credit card,158.1,4.761904716,7.905,8.600000381,Afternoon,Wednesday,March,Yangon
200-16-5952,C,Member,Male,Food and beverages,65.65,2,6.565000057,137.865,00:00.0,46:00.0,Cash,131.3,4.761904716,6.565,6,Afternoon,Thursday,January,Naypyitaw
200-40-6154,B,Member,Male,Home and lifestyle,65.91,6,19.77300072,415.233,00:00.0,45:00.0,Cash,395.46,4.761904716,19.773,5.699999809,Morning,Saturday,February,Mandalay
201-63-8275,C,Member,Female,Sports and travel,67.99,7,23.79649925,499.7265,00:00.0,50:00.0,Ewallet,475.93,4.761904716,23.7965,5.699999809,Afternoon,Sunday,February,Naypyitaw
201-86-2184,B,Member,Female,Electronic accessories,26.26,7,9.190999985,193.011,00:00.0,40:00.0,Cash,183.82,4.761904716,9.191,9.899999619,Evening,Saturday,February,Mandalay
207-73-1363,B,Normal,Male,Health and beauty,69.51,2,6.951000214,145.971,00:00.0,15:00.0,Ewallet,139.02,4.761904716,6.951,8.100000381,Afternoon,Friday,March,Mandalay
209-61-0206,A,Normal,Female,Home and lifestyle,42.91,5,10.72749996,225.2775,00:00.0,29:00.0,Ewallet,214.55,4.761904716,10.7275,6.099999905,Afternoon,Saturday,January,Yangon
210-30-7976,B,Member,Female,Fashion accessories,22.32,4,4.464000225,93.744,00:00.0,16:00.0,Ewallet,89.28,4.761904716,4.464,4.099999905,Morning,Thursday,March,Mandalay
210-57-1719,B,Normal,Female,Health and beauty,58.24,9,26.20800018,550.368,00:00.0,34:00.0,Cash,524.16,4.761904716,26.208,9.699999809,Afternoon,Tuesday,February,Mandalay
210-67-5886,C,Member,Female,Health and beauty,98.21,3,14.73149967,309.3615,00:00.0,41:00.0,Credit card,294.63,4.761904716,14.7315,7.800000191,Morning,Tuesday,February,Naypyitaw
210-74-9613,C,Normal,Male,Fashion accessories,97.26,4,19.45199966,408.492,00:00.0,33:00.0,Ewallet,389.04,4.761904716,19.452,6.800000191,Afternoon,Saturday,March,Naypyitaw
211-05-0490,C,Member,Female,Electronic accessories,51.92,5,12.97999954,272.58,00:00.0,42:00.0,Cash,259.6,4.761904716,12.98,7.5,Afternoon,Sunday,March,Naypyitaw
211-30-9270,C,Normal,Male,Health and beauty,17.41,5,4.352499962,91.4025,00:00.0,16:00.0,Credit card,87.05,4.761904716,4.3525,4.900000095,Afternoon,Monday,January,Naypyitaw
212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.47800064,367.038,00:00.0,44:00.0,Cash,349.56,4.761904716,17.478,9.899999619,Afternoon,Thursday,March,Yangon
213-32-1216,A,Normal,Female,Electronic accessories,66.06,6,19.81800079,416.178,00:00.0,28:00.0,Cash,396.36,4.761904716,19.818,7.300000191,Morning,Wednesday,January,Yangon
213-72-6612,A,Normal,Male,Food and beverages,43.25,2,4.324999809,90.825,00:00.0,56:00.0,Cash,86.5,4.761904716,4.325,6.199999809,Afternoon,Wednesday,March,Yangon
214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.943999767,103.824,00:00.0,23:00.0,Ewallet,98.88,4.761904716,4.944,9.899999619,Evening,Thursday,February,Naypyitaw
214-30-2776,B,Member,Female,Electronic accessories,34.49,5,8.62250042,181.0725,00:00.0,44:00.0,Credit card,172.45,4.761904716,8.6225,9,Evening,Monday,March,Mandalay
217-58-1179,A,Member,Male,Home and lifestyle,62.65,4,12.52999973,263.13,00:00.0,25:00.0,Cash,250.6,4.761904716,12.53,4.199999809,Morning,Saturday,January,Yangon
218-59-9410,A,Member,Female,Home and lifestyle,72.42,3,10.86299992,228.123,00:00.0,54:00.0,Ewallet,217.26,4.761904716,10.863,8.199999809,Afternoon,Friday,March,Yangon
219-22-9386,B,Member,Male,Sports and travel,99.96,9,44.98199844,944.622,00:00.0,26:00.0,Credit card,899.64,4.761904716,44.982,4.199999809,Afternoon,Saturday,March,Mandalay
219-61-4139,C,Normal,Male,Electronic accessories,83.08,1,4.153999805,87.234,00:00.0,16:00.0,Ewallet,83.08,4.761904716,4.154,6.400000095,Afternoon,Wednesday,January,Naypyitaw
220-28-1851,A,Normal,Male,Home and lifestyle,34.73,2,3.47300005,72.933,00:00.0,14:00.0,Ewallet,69.46,4.761904716,3.473,9.699999809,Evening,Friday,March,Yangon
220-68-6701,A,Normal,Female,Home and lifestyle,77.47,4,15.49400043,325.374,00:00.0,36:00.0,Cash,309.88,4.761904716,15.494,4.199999809,Afternoon,Sunday,March,Yangon
221-25-5073,A,Normal,Female,Food and beverages,74.66,4,14.93200016,313.572,00:00.0,39:00.0,Cash,298.64,4.761904716,14.932,8.5,Morning,Monday,March,Yangon
222-42-0244,B,Member,Female,Health and beauty,72.11,9,32.44950104,681.4395,00:00.0,53:00.0,Credit card,648.99,4.761904716,32.4495,7.699999809,Afternoon,Monday,January,Mandalay
225-32-0908,C,Normal,Female,Sports and travel,44.86,10,22.43000031,471.03,00:00.0,54:00.0,Ewallet,448.6,4.761904716,22.43,8.199999809,Evening,Saturday,January,Naypyitaw
225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,4.052999973,85.113,00:00.0,01:00.0,Credit card,81.06,4.761904716,4.053,7.099999905,Afternoon,Saturday,March,Naypyitaw
226-31-3081,C,Normal,Female,Electronic accessories,15.28,5,3.819999933,80.22,00:00.0,29:00.0,Cash,76.4,4.761904716,3.82,9.600000381,Morning,Friday,March,Naypyitaw
226-34-0034,B,Normal,Female,Electronic accessories,13.78,4,2.756000042,57.876,00:00.0,10:00.0,Ewallet,55.12,4.761904716,2.756,9,Morning,Thursday,January,Mandalay
226-71-3580,C,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,00:00.0,02:00.0,Cash,213.75,4.761904716,10.6875,9.5,Afternoon,Thursday,January,Naypyitaw
227-03-5010,A,Member,Female,Home and lifestyle,52.59,8,21.0359993,441.756,00:00.0,20:00.0,Credit card,420.72,4.761904716,21.036,8.5,Evening,Friday,March,Yangon
